rcv			 1556155331.15			 1			 333			 0
snd			 1556155331.15			 0			 333			 334
rcv			 1556155331.15			 334			 333			 334
snd			 1556155331.16			 0			 333			 667
rcv			 1556155331.16			 667			 333			 667
snd			 1556155331.16			 0			 333			 1000
rcv			 1556155331.16			 1000			 333			 1000
snd			 1556155331.16			 0			 333			 1333
rcv			 1556155331.16			 1333			 333			 1333
snd			 1556155331.16			 0			 333			 1666
rcv			 1556155331.17			 1666			 333			 1666
snd			 1556155331.17			 0			 333			 1999
rcv			 1556155332.17			 1999			 333			 1999
snd			 1556155332.17			 0			 333			 2332
rcv			 1556155332.17			 2332			 333			 2332
snd			 1556155332.17			 0			 333			 2665
rcv			 1556155332.17			 2665			 333			 2665
snd			 1556155332.17			 0			 333			 2998
rcv			 1556155332.17			 2998			 333			 2998
snd			 1556155332.17			 0			 333			 3331
rcv			 1556155332.17			 3059			 61			 3331
snd			 1556155332.17			 0			 61			 3120
